date,supplier,hotel,product,qty,oldSupplyPrice,newSupplyPrice,diff,tutedPrice,priceListDate,marginRate
2026-05-23,KUMLUCA HAL,ASTORİA,DOMATES PEMBE,60,0,45.9,45.9,255,2026-05-23,0.18
2026-05-23,KUMLUCA HAL,ASTORİA,PATLICAN,180,0,21.6,21.6,120,2026-05-23,0.18
2026-05-23,KUMLUCA HAL,ASTORİA,KABAK SAKIZ,40,0,16.2,16.2,90,2026-05-23,0.18
2026-05-23,KUMLUCA HAL,STELLA,SALATALIK SİLOR PAKET,5,0,34.2,34.2,190,2026-05-23,0.18
2026-05-23,KUMLUCA HAL,AMBASSADOR,BİBER KAPYA,87,0,135,135,750,2026-05-23,0.18
2026-05-24,MSD07 TAR ÜR,CASAFORA,MARUL DÜZ,35,0,30.8,30.8,140,2026-05-24,0.22
2026-05-24,MSD07 TAR ÜR,CASAFORA,SOĞAN KURU,300,0,18.48,18.48,84,2026-05-24,0.22
2026-05-24,SÜLEYMAN ASKEROĞLU,GRAND MİRAMOR,LİMON,96,79.2,64.8,-14.4,360,2026-05-24,0.18
2026-05-24,SÜLEYMAN ASKEROĞLU,GRAND MİRAMOR,MUZ YERLİ,129,66,54,-12,300,2026-05-24,0.18
2026-05-25,MSD07 TAR ÜR,CASAFORA,LAHANA,45,26.4,72.6,46.2,330,2026-05-25,0.22
2026-05-30,MSD07 TAR ÜR,CASAFORA,LAHANA,106,26.4,72.6,46.2,330,2026-05-30,0.22
2026-05-30,MSD07 TAR ÜR,SEAPHORİA,LAHANA,27,26.4,72.6,46.2,330,2026-05-30,0.22
2026-06-03,MSD07 TAR ÜR,SEAPHORİA,ROKA,40,13.2,15.4,2.2,70,2026-06-03,0.22
2026-06-03,MSD07 TAR ÜR,SEAPHORİA,MARUL DÜZ,30,33,30.8,-2.2,140,2026-06-03,0.22
2026-06-03,MSD07 TAR ÜR,CASAFORA,MARUL DÜZ,60,33,30.8,-2.2,140,2026-06-03,0.22
2026-06-03,MSD07 TAR ÜR,CASAFORA,MAYDONOZ,160,13.2,16.5,3.3,75,2026-06-03,0.22
2026-06-03,MSD07 TAR ÜR,CASAFORA,DEREOTU,100,15.4,18.7,3.3,85,2026-06-03,0.22
2026-06-03,MSD07 TAR ÜR,CASAFORA,NANE,100,13.2,15.4,2.2,70,2026-06-03,0.22
2026-06-03,MSD07 TAR ÜR,CASAFORA,ROKA,120,13.2,15.4,2.2,70,2026-06-03,0.22
2026-06-03,MSD07 TAR ÜR,CASAFORA,MARUL ICEBERG,24,30.8,28.6,-2.2,130,2026-06-03,0.22
2026-06-03,KUMLUCA HAL,CASAFORA,DOMATES,500,92.4,33,-59.4,150,2026-06-03,0.22
2026-06-03,KUMLUCA HAL,SEAPHORİA,DOMATES,200,92.4,33,-59.4,150,2026-06-03,0.22
2026-06-03,KUMLUCA HAL,CASAFORA,DOMATES CHERRY,150,147.4,110,-37.4,500,2026-06-03,0.22
2026-06-03,KUMLUCA HAL,SEAPHORİA,DOMATES CHERRY,27,147.4,110,-37.4,500,2026-06-03,0.22
2026-06-03,KUMLUCA HAL,CASAFORA,SALATALIK SİLOR PAKET,320,37.4,36.3,-1.1,165,2026-06-03,0.22
